Article Identification Number,Title,Authors,Year,Month,Journal,Volume,Issue,Page Numbers,DOI
2-1-2015,Subjective status shapes political preferences.,"JL Brown-Iannuzzi, KB Lundberg, AC Kay, BK Payne",2015,Jan,Psychological Science,26,1,15-26,10.1177/0956797614553947
1-1-2015,The sound of power: conveying and detecting hierarchical rank through voice.,"SJ Ko, MS Sadler, AD Galinsky",2015,Jan,Psychological Science,26,1,3 - 14,10.1177/0956797614553009
7-1-2015,Do men overperceive women's sexual interest?,"C Perilloux, R Kurzban",2015,Jan,Psychological Science,26,1,70-7,10.1177/0956797614555727
3-1-2015,Inhibition-induced forgetting: when more control leads to less memory.,"YC Chiu, T Egner",2015,Jan,Psychological Science,26,1,27-38,10.1177/0956797614553945
5-1-2015,The role of conscious perception in attentional capture and object-file updating.,"D Lamy, L Alon, T Carmel, N Shalev",2015,Jan,Psychological Science,26,1,48-57,10.1177/0956797614556777
5-3-2015,"Building blocks for developing spatial skills: evidence from a large, representative U.S. sample.","JJ Jirout, NS Newcombe",2015,Mar,Psychological Science,26,3,302-10,10.1177/0956797614563338
9-3-2015,Mothers speak less clearly to infants than to adults: a comprehensive test of the hyperarticulation hypothesis.,"A Martin, T Schatz, M Versteegh, K Miyazawa, R Mazuka, E Dupoux, A Cristia",2015,Mar,Psychological Science,26,3,341-7,10.1177/0956797614562453
8-3-2015,Your friends know how long you will live: a 75-year study of peer-rated personality traits.,"JJ Jackson, JJ Connolly, SM Garrison, MM Leveille, SL Connolly",2015,Mar,Psychological Science,26,3,335-40,10.1177/0956797614561800
2-3-2015,13-month-olds' understanding of social interactions.,"YJ Choi, Y Luo",2015,Mar,Psychological Science,26,3,274-83,10.1177/0956797614562452
3-3-2015,Direct real-time neural evidence for task-set inertia.,"LH Evans, JE Herron, EL Wilding",2015,Mar,Psychological Science,26,3,284-90,10.1177/0956797614561799
6-3-2015,"Social structure, infectious diseases, disasters, secularism, and cultural change in America.","I Grossmann, ME Varnum",2015,Mar,Psychological Science,26,3,311-24,10.1177/0956797614563765
12-3-2015,"Cultural variation in emotion perception is real: a response to Sauter, Eisner, Ekman, and Scott (2015).","M Gendron, D Roberson, LF Barrett",2015,Mar,Psychological Science,26,3,357-9,10.1177/0956797614566659
4-3-2015,Constructing rich false memories of committing crime.,"J Shaw, S Porter",2015,Mar,Psychological Science,26,3,291-301,10.1177/0956797614562862
7-3-2015,Anticipatory control through associative learning of subliminal relations: invisible may be better than visible.,"AA Farooqui, T Manly",2015,Mar,Psychological Science,26,3,325-34,10.1177/0956797614564191
1-3-2015,Dimorphous expressions of positive emotion: displays of both care and aggression in response to cute stimuli.,"OR Aragí_n, MS Clark, RL Dyer, JA Bargh",2015,Mar,Psychological Science,26,3,259-73,10.1177/0956797614561044
8-5-2015,Not so innocent: toddlers' inferences about costs and culpability.,"J Jara-Ettinger, JB Tenenbaum, LE Schulz",2015,May,Psychological Science,26,5,633-40,10.1177/0956797615572806
10-5-2015,Color is processed less efficiently than orientation in change detection but more efficiently in visual search.,L Huang,2015,May,Psychological Science,26,5,646-52,10.1177/0956797615569577
11-5-2015,Assessing the robustness of power posing: no effect on hormones and risk tolerance in a large sample of men and women.,"E Ranehill, A Dreber, M Johannesson, S Leiberg, S Sul, RA Weber",2015,May,Psychological Science,26,5,653-6,10.1177/0956797614553946
7-5-2015,Grasp posture alters visual processing biases near the hands.,LE Thomas,2015,May,Psychological Science,26,5,625-32,10.1177/0956797615571418
5-5-2015,Failing to forget: inhibitory-control deficits compromise memory suppression in posttraumatic stress disorder.,"A Catarino, CS Kí_pper, A Werner-Seidler, T Dalgleish, MC Anderson",2015,May,Psychological Science,26,5,604-16,10.1177/0956797615569889
4-5-2015,"Popularity, similarity, and the network extraversion bias.","DC Feiler, AM Kleinbaum",2015,May,Psychological Science,26,5,593-603,10.1177/0956797615569580
13-5-2015,Conspiracist ideation as a predictor of climate-science rejection: an alternative analysis.,"RM Dixon, JA Jones",2015,May,Psychological Science,26,5,664-6,10.1177/0956797614566469
14-5-2015,The robust relationship between conspiracism and denial of (climate) science.,"S Lewandowsky, GE Gignac, K Oberauer",2015,May,Psychological Science,26,5,667-70,10.1177/0956797614568432
12-5-2015,Review and Summary of Research on the Embodied Effects of Expansive (vs. Contractive) Nonverbal Displays.,"DR Carney, AJ Cuddy, AJ Yap",2015,May,Psychological Science,26,5,657-63,10.1177/0956797614566855
3-5-2015,Social influence on risk perception during adolescence.,"LJ Knoll, L Magis-Weinberg, M Speekenbrink, SJ Blakemore",2015,May,Psychological Science,26,5,583-92,10.1177/0956797615569578
1-5-2015,Small telescopes: detectability and the evaluation of replication results.,U Simonsohn,2015,May,Psychological Science,26,5,559-69,10.1177/0956797614567341
2-5-2015,Did shakespeare write double falsehood? Identifying individuals by creating psychological signatures with text analysis.,"RL Boyd, JW Pennebaker",2015,May,Psychological Science,26,5,570-82,10.1177/0956797614566658
6-5-2015,Two strikes: race and the disciplining of young students.,"JA Okonofua, JL Eberhardt",2015,May,Psychological Science,26,5,617-24,10.1177/0956797615570365
9-5-2015,How do stereotypes influence choice?,AS Chaxel,2015,May,Psychological Science,26,5,641-5,10.1177/0956797615569354
10-4-2014,Stress contagion: physiological covariation between mothers and infants.,"SF Waters, TV West, WB Mendes",2014,Apr,Psychological Science,25,4,934-42,10.1177/0956797613518352
11-4-2014,Closing the social-class achievement gap: a difference-education intervention improves first-generation students' academic performance and all students' college transition.,"NM Stephens, MG Hamedani, M Destin",2014,Apr,Psychological Science,25,4,943-53,10.1177/0956797613518349
10-8-2014,Multilevel induction of categories: venomous snakes hijack the learning of lower category levels.,"SM Noh, VX Yan, MS Vendetti, AD Castel, RA Bjork",2014,Aug,Psychological Science,25,8,1592–1599,10.1177/0956797614535938
11-8-2014,Domain-specific genetic influence on visual-ambiguity resolution.,"Y Wang, L Wang, Q Xu, D Liu, Y Jiang",2014,Aug,Psychological Science,25,8,1600–1607,10.1177/0956797614535811
11-12-2014,People overestimate their willingness to reject potential romantic partners by overlooking their concern for other people.,"S Joel, R Teper, G MacDonald",2014,Dec,Psychological Science,25,12,2233-40,10.1177/0956797614552828
10-2-2014,Point-and-shoot memories: the influence of taking photos on memory for a museum tour.,LA Henkel,2014,Feb,Psychological Science,25,2,396-402,10.1177/0956797613504438
11-2-2014,Brain mechanisms underlying reality monitoring for heard and imagined words.,"E Sugimori, KJ Mitchell, CL Raye, EJ Greene, MK Johnson",2014,Feb,Psychological Science,25,2,403-13,10.1177/0956797613505776
24-2-2014,"Are the ""memory wars"" over? A scientist-practitioner gap in beliefs about repressed memory.","L Patihis, LY Ho, IW Tingen, SO Lilienfeld, EF Loftus",2014,Feb,Psychological Science,25,2,519-30,10.1177/0956797613510718
10-1-2014,The morning morality effect: the influence of time of day on unethical behavior.,"M Kouchaki, IH Smith",2014,Jan,Psychological Science,25,1,95-102,10.1177/0956797613498099
11-1-2014,The impact of sustained engagement on cognitive function in older adults: the Synapse Project.,"DC Park, J Lodi-Smith, L Drew, S Haber, A Hebrank, GN Bischof, W Aamodt",2014,Jan,Psychological Science,25,1,103-12,10.1177/0956797613499592
10-7-2014,We take care of our own: caregiving salience increases out-group bias in response to out-group threat.,"M Gilead, N Liberman",2014,Jul,Psychological Science,25,7,1380–1387,10.1177/0956797614531439
11-7-2014,Conformity to the opinions of other people lasts for no more than 3 days.,"Y Huang, KM Kendrick, R Yu",2014,Jul,Psychological Science,25,7,1388-93,10.1177/0956797614532104
10-6-2014,Don't do it again! Directed forgetting of habits.,"G Dreisbach, KH BÃ¤uml",2014,Jun,Psychological Science,25,6,1242–1248,10.1177/0956797614526063
11-6-2014,When cognitive control is not adaptive.,"BR Bocanegra, B Hommel",2014,Jun,Psychological Science,25,6,1249-55,10.1177/0956797614528522
10-3-2014,Catching eyes: effects of social and nonsocial cues on attention capture.,"A BÃ¶ckler, RP van der Wel, TN Welsh",2014,Mar,Psychological Science,25,3,720-7,10.1177/0956797613516147
11-3-2014,That's not just beautiful--that's incredibly beautiful!: the adverse impact of inflated praise on children with low self-esteem.,"E Brummelman, S Thomaes, B Orobio de Castro, G Overbeek, BJ Bushman",2014,Mar,Psychological Science,25,3,728-35,10.1177/0956797613514251
10-5-2014,Testosterone reactivity to provocation mediates the effect of early intervention on aggressive behavior.,"JM CarrÃ©, AM Iselin, KM Welker, AR Hariri, KA Dodge",2014,May,Psychological Science,25,5,1140–1146,10.1177/0956797614525642
10-11-2014,Maternal buffering of human amygdala-prefrontal circuitry during childhood but not during adolescence.,"DG Gee, L Gabard-Durnam, EH Telzer, KL Humphreys, B Goff, M Shapiro, J Flannery, DS Lumian, DS Fareri, C Caldera, N Tottenham",2014,Nov,Psychological Science,25,11,2067-78,10.1177/0956797614550878
11-11-2014,Pain as social glue: shared pain increases cooperation.,"B Bastian, J Jetten, LJ Ferris",2014,Nov,Psychological Science,25,11,2079-85,10.1177/0956797614545886
10-10-2014,Curbing craving: behavioral and brain evidence that children regulate craving when instructed to do so but have higher baseline craving than adults.,"JA Silvers, C Insel, A Powers, P Franz, J Weber, W Mischel, BJ Casey, KN Ochsner",2014,Oct,Psychological Science,25,10,1932-42,10.1177/0956797614546001
11-10-2014,Social connection modulates perceptions of animacy.,"KE Powers, AL Worsham, JB Freeman, T Wheatley, TF Heatherton",2014,Oct,Psychological Science,25,10,1943–1948,10.1177/0956797614547706
10-9-2014,Love is in the gaze: an eye-tracking study of love and sexual desire.,"M Bolmont, JT Cacioppo, S Cacioppo",2014,Sep,Psychological Science,25,9,1748-56,10.1177/0956797614539706
11-9-2014,Perceptual expertise: can sensorimotor experience change holistic processing and left-side bias?,"RV Tso, TK Au, JH Hsiao",2014,Sep,Psychological Science,25,9,1757-67,10.1177/0956797614541284
10-4-2015,Improving vision among older adults: behavioral training to improve sight.,"DJ DeLoss, T Watanabe, GJ Andersen",2015,Apr,Psychological Science,26,4,456-66,10.1177/0956797614567510
11-4-2015,Gender cognition in transgender children.,"KR Olson, AC Key, NR Eaton",2015,Apr,Psychological Science,26,4,467-74,10.1177/0956797614568156
10-2-2015,Expression of anger and ill health in two cultures: an examination of inflammation and cardiovascular risk.,"S Kitayama, J Park, JM Boylan, Y Miyamoto, CS Levine, HR Markus, M Karasawa, CL Coe, N Kawakami, GD Love, CD Ryff",2015,Feb,Psychological Science,26,2,211-20,10.1177/0956797614561268
11-2-2015,"More power to the unconscious: conscious, but not unconscious, exogenous attention requires location variation.","Z Lin, SO Murray",2015,Feb,Psychological Science,26,2,221-30,10.1177/0956797614560770
10-1-2015,Cognitive advantage in bilingualism: an example of publication bias?,"A de Bruin, B Treccani, S Della Sala",2015,Jan,Psychological Science,26,1,99-107,10.1177/0956797614557866
10-3-2015,Greater maternal insensitivity in childhood predicts greater electrodermal reactivity during conflict discussions with romantic partners in adulthood.,"KL Raby, GI Roisman, JA Simpson, WA Collins, RD Steele",2015,Mar,Psychological Science,26,3,348-53,10.1177/0956797614563340
11-3-2015,Emotional vocalizations are recognized across cultures regardless of the valence of distractors.,"DA Sauter, F Eisner, P Ekman, SK Scott",2015,Mar,Psychological Science,26,3,354-6,10.1177/0956797614560771
13-5-2014,"RETRACTION of ""Money and Mimicry: When Being Mimicked Makes People Feel Threatened""",NA,2014,May,Psychological Science,NA,NA,1153,10.1177/0956797614531550
10-12-2014,Life Paths and Accomplishments of Mathematically Precocious Males and Females Four Decades Later,"D Lubinski, CP Benbow, HJ Kell",2014,Dec,Psychological Science,25,12,2217 - 2232,10.1177/0956797614551371
11-1-2015,"Note on “Fewer Things, Lasting Longer: The Effects of Emotion on Quantity Judgments”",NA,2015,Jan,Psychological Science,26,1,108,10.1177/0956797614566124
11-5-2014,Women Can Keep the Vote: No Evidence That Hormonal Changes During the Menstrual Cycle Impact Political and Religious Beliefs,"CR Harris, A Chabot, L Mickes",2014,May,Psychological Science,25,5,1147-1149,10.1177/0956797613520236
14-12-2014,The Unforeseen Costs of Extraordinary Experience,"G Cooney, DT Gilbert, TD Wilson",2014,Dec,Psychological Science,25,12,2259-2265,10.1177/0956797614551372
18-10-2014,Corrigendum: Women Can Keep the Vote: No Evidence That Hormonal Changes During the Menstrual Cycle Impact Political and Religious Beliefs,NA,2014,Oct,Psychological Science,25,10,1969,10.1177/0956797614550327
19-11-2014,Can Emotion Regulation Change Political Attitudes in Intractable Conflicts? From the Laboratory to the Field,NA,2014,Nov,Psychological Science,25,11,2120,10.1177/0956797614552795
20-12-2014,Corrigendum: Cultural Relativity in Perceiving Emotion From Vocalizations,NA,2014,Dec,Psychological Science,25,12,2284,10.1177/0956797614556283
21-12-2014,2014 Psychological Science Badge Earners,NA,2014,Dec,Psychological Science,25,12,2285-2286,10.1177/0956797614563521
7-4-2014,Cultural Relativity in Perceiving Emotion From Vocalizations,"M Gendron, D Roberson, JM van der Vyver, LF Barrett",2014,Apr,Psychological Science,25,4,911-920,10.1177/0956797613517239
9-1-2015,Action-Specific Disruption of Perceptual Confidence,"SM Fleming, B Maniscalco, Y Ko, N Amendi, T Ro, H Lau",2015,Jan,Psychological Science,26,1,89-98,10.1177/0956797614557697
28-3-2014,Corrigendum: Kinesthesis Can Make an Invisible Hand Visible.,NA,2014,Mar,Psychological Science,25,3,842,10.1177/0956797613520537
29-3-2014,Corrigendum: Attitudes toward Arab ascendance: Israeli and global perspectives.,NA,2014,Mar,Psychological Science,25,3,843,10.1177/0956797614523931
30-3-2014,"Corrigendum: Awe, uncertainty, and agency detection.",NA,2014,Mar,Psychological Science,25,3,844,10.1177/0956797614525573
24-7-2014,Matched-Names Analysis Reveals No Evidence of Name-Meaning Effects: A Collaborative Commentary on Silberzahn and Uhlmann (2013),"R Silberzahn, U Simonsohn, EL Uhlmann",2014,Jul,Psychological Science,25,7,1504-1505,10.1177/0956797614533802
25-7-2014,Erratum: Are the “Memory Wars” Over? A Scientist-Practitioner Gap in Beliefs About Repressed Memory,NA,2014,Jul,Psychological Science,25,7,1506,10.1177/0956797614538213
26-4-2015,Erratum: Action-Specific Disruption of Perceptual Confidence,NA,2015,Apr,Psychological Science,26,4,551,10.1177/0956797615578854
27-4-2015,Corrigendum: Life Paths and Accomplishments of Mathematically Precocious Males and Females Four Decades Later,NA,2015,Apr,Psychological Science,26,4,552-553,10.1177/0956797615575525
28-4-2015,Corrigendum: The Unforeseen Costs of Extraordinary Experience,NA,2015,Apr,Psychological Science,26,4,554,10.1177/0956797615575706
