article_id_number,no_of_experiments,subfield,type_of_article,type_of_article_other,participants,participants_other,age,brain_beh,topic,topic_other,data_badge,data_statement_present,data_statement_indicates,data_quote,data_page_no,data_accessible,data_accessible_other,dataset_URL,type_of_data_repo,type_of_data_repo_other,which_data_repo,which_data_repo_other,dataset_URL_working,data_locatable,data_downloadable,data_correspond,data_complete,software,type_of_software,type_of_software_other,data_codebook,data_scripts,data_other_info,materials_badge,materials_statement_present,materials_statement_indicates,materials_quote,materials_page_no,materials_accessible,materials_accessible_other,materials_URL,type_of_materials_repo,type_of_materials_repo_other,which_materials_repo,which_materials_repo_other,materials_URL_working,materials_locatable,materials_downloadable,materials_correspond,materials_complete,materials_explanation,materials_other_info,supplemental_info,URL_supplemental_info,open_data_score,open_materials_score
2020-31-2-184,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,This article has received the badge for Open Data.,191,Public dataset generated by the authors,NA,https://osf.io/je4h7/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,Yes,Yes,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619900315/suppl_file/Lee_Supplemental_Material_rev.pdf,25,0
2019-30-12-1674,5 or more,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,1694,Public dataset generated by the authors,NA,https://osf.io/v4qys/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,1694,Public set of materials generated by authors,NA,https://osf.io/v4qys/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,NA,No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619876982,19,12
2019-30-12-1696,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,Deidentified data as well as materials for both experiments have been made publically available through the Open Science Framework,1705,Public dataset generated by the authors,NA,https://osf.io/2pnu6/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,Yes,Yes,Available,Deidentified data as well as materials for both experiments have been made publically available through the Open Science Framework,1705,Public set of materials generated by authors,NA,https://osf.io/ arphg/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, but only some of the materials are available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619879441,19,13
2020-31-2-202,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,Data and materials for these studies have not been made publicly available,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Other (please specify):,liwc,NA,NA,NA,No,Yes,Unavailable,Data and materials for these studies have not been made publicly available,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619894557,2,1
2019-30-12-1707,3,Cognition,NA,NA,Humans,NA,All other ages,Both,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,All data have been made publicly available via the Open Science Framework,1721,Public dataset generated by the authors,NA,https://osf.io/wytek/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,Matlab,NA,No,Yes,Script for figures,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619881134,20,0
2019-30-12-1724,1,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,0,0
2019-30-12-1733,5 or more,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,1742,Public dataset generated by the authors,NA,https://osf.io/5kbx6/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,1742,Public set of materials generated by authors,NA,https://osf.io/5kbx6/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619881133,19,14
2019-30-10-1460,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,Data for this study have not been made publicly available,1471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,SPSS,NA,NA,NA,NA,Yes,Yes,Available,All materials have been made publicly available via the Open Science Framework and can be accessed at osf.io/mk5s3,1471,Public set of materials generated by authors,NA,osf.io/mk5s3,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619868997/suppl_file/French_SupplementalMaterial_rev.pdf,2,14
2019-30-11-1573,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,Yes,Unavailable,Neither the data nor the materials have been made available on a permanent third-party archive,1582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,SPSS,NA,NA,NA,NA,No,Yes,Unavailable,Neither the data nor the materials have been made available on a permanent third-party archive,1582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2,1
2019-30-11-1616,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,Yes,Unavailable,neither the data nor the materials have been made available on a permanent third-party archive,1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,neither the data nor the materials have been made available on a permanent third-party archive,1623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619873344/suppl_file/Sanders_Supplemental_Material_rev2_(002).pdf,1,1
2019-30-11-1625,3,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,SPSS,NA,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619875472,2,1
2019-30-11-1648,3,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,Yes,Available,The raw data for these experiments can be viewed in the Supplemental Material available online,1655,Other (please specify):,supplemental material,http:// journals.sagepub.com/doi/suppl/10.1177/0956797619863072,Other (please specify):,journal publication,NA,NA,Yes,Yes,Yes,Unclear,Unclear whether or not all the data are available,Yes,Other (please specify):,python,Yes,No,excel spreadsheet which details instructions for interpreting data found in article,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619863072,16,0
2019-30-12-1745,5 or more,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,Data and materials for the present studies have not been made publicly available,1765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,Data and materials for the present studies have not been made publicly available,1764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619882917,1,1
2020-31-5-548,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,Yes,Unavailable,Data for this study have not been made publicly available,565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,R,NA,NA,NA,NA,No,Yes,Available,Materials can be obtained from Cambridge Brain Sciences (www.cambridgebrainsciences.com),565,Other (please specify):,general website,www.cambridgebrainsciences.com,Other (please specify):,cambridge brain sciences home page,NA,NA,Yes,No,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797620903113,2,6
2020-31-5-568,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,Yes,Unavailable,Data for this study have not been made publicly available because the combination of demographic and crime variables makes it possible to identify participants.,579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,SPSS,NA,NA,NA,NA,No,Yes,Available,The face stimuli used in the present study are morphed versions of images that can be downloaded at http://fablab.yale.edu/page/ assays-tools,579,Not clear,NA,http://fablab.yale.edu/page/ assays-tools,Other (please specify):,fundamentals of adolescent brain lab website,NA,NA,Yes,Yes,Yes,Unclear,Unclear whether or not all the materials are available,No,"many materials for a range of experiments conducted in this particular lab, hard to determine which are used for this experiment","Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797620904157,2,8
2020-31-5-582,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,behavioural correlates in gene x environment interactions,No,Yes,Available,All data used in the present study are available to qualified researchers from the UK Biobank at http://www.ukbio bank.ac.uk/.,590,Other (please specify):,only available to qualified researchers,https://www.ukbiobank.ac.uk/,Other (please specify):,database,NA,NA,Yes,No,NA,NA,NA,Yes,R,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620904450/suppl_file/Cheesman_Supplemental_Material_rev.pdf,7,0
2020-31-6-623,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,motivation in university students,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Other (please specify):,Mplus,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797620904451,2,1
2020-31-6-634,3,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,Yes,Available,https://osf .io/d3wq9/?view_only=1658e9fa494a4aaca94a8415f6a32bc3.,642,Other (please specify):,public dataset by anonymous contributors,https://osf .io/d3wq9/?view_only=1658e9fa494a4aaca94a8415f6a32bc3.,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,Other (please specify):,G*Power 3,Yes,Yes,NA,No,Yes,Available,Data and materials for this study have been made publicly available on the Open Science Framework at,642,Other (please specify):,public materials by anonymous authors,https://osf .io/d3wq9/?view_only=1658e9fa494a4aaca94a8415f6a32bc3,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,supporting online materials,No,NA,25,14
2020-31-6-729,1,Behavioural Neuroscience,NA,NA,Humans,NA,All other ages,Both,Other (please specify):,"procedural knowledge, neural correlates",No,Yes,Unavailable,Data and materials for this study have not been made publicly available,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl10.1177/0956797620916806,1,1
2020-31-7-781,1,Developmental Psychology,NA,NA,Humans,NA,All other ages,Both,Other (please specify):,genetic influence on childhood development in longitudinal study,No,Yes,Available,Data access can be requested via the Born in Bradford website (https://borninbradford.nhs.uk/),789,Not clear,NA,https://borninbradford.nhs.uk/,Other (please specify):,independent website,NA,NA,Yes,Requires permission,NA,NA,NA,Yes,Other (please specify):,plank,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797620917209,6,0
2020-31-7-792,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,Yes,Unavailable,"Data from the Dunedin Study are not publicly available because the consent form at the last contact with these participants did not address the broad sharing of their data, nor the risks associated with broad sharing of these data. Because the population is small and participants’ date of birth and location are well known, and because of the lack of information in the consent form, the institutional review board concluded that it is not appropriate to share these individuallevel data collected through any National Institutes of Health-designated repository or other unrestricted openaccess methods.",804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,R,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620916786,2,0
2020-31-2-193,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Unavailable,"Access to the archival data analyzed in this study is restricted, but data are available on request from the Inter-University Consortium for Political and Social Research (ICPSR).",200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619896270,1,0
2020-31-7-822,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered",833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Other (please specify):,Mplus,NA,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered",833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620919432,2,1
2020-31-6-654,2,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,Yes,Yes,Available,All data and analysis scripts have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/6fk9a/.,660,Public dataset generated by the authors,NA,https://osf.io/6fk9a/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Unclear,"Yes, all of the data appear to be available",Yes,Matlab,NA,No,Yes,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620907090,18,0
2020-31-7-835,1,Social Psychology,NA,NA,Humans,NA,All other ages,Both,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,Anonymized data have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/xhnsy,845,Public dataset generated by the authors,NA,https://osf.io/xhnsy,Independent archive/repository,NA,OSF,NA,Yes,Yes,Requires permission,Unclear,NA,Yes,Other (please specify):,LDpred,No,No,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620924677,10,0
2020-31-7-865,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,Other (please specify):,"gender gaps in education, self-affirmation",Yes,Yes,Available,All data and STATA code necessary to reproduce the analyses have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/ gzq9k,871,Public dataset generated by the authors,NA,https://osf.io/ gzq9k,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Unclear,"Yes, all of the data appear to be available",No,NA,NA,No,No,"entire zip file containing specification curves, suggestive means for replication and data analysis instructions.",No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620923587/suppl_file/Serra_Garcia_Supplemental_Material_rev.pdf,12,0
2020-31-8-1001,2,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Other (please specify):,python,NA,NA,NA,No,Yes,Unavailable,Data and materials for this study have not been made publicly available,1011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2,1
2020-31-9-1097,2,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,Yes,Unavailable,"Data for this study have not been made publicly available, and the design and analysis plans for the two experiments were not preregistered.",1106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,0
2020-31-9-1117,2,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,Yes,Yes,Available,All data and analysis code for the experiments have been made publicly available via OSF and can be accessed at https://doi.org/10.17605/OSF.IO/F6QSK.,1127,Public dataset generated by the authors,NA,https://osf.io/f6qsk/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Unclear,Unclear whether or not all the data are available,No,NA,NA,No,Yes,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,15,0
2020-31-9-1140,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,"Given the highly sensitive and confidential nature of the information as required by Swedish law, analyses by outside parties of the data used in the present study can take place only in Sweden under the supervision of Jan Sundquist (jan .sundquist@med.lu.se) or Kristina Sundquist (kristina.sun dquist@med.lu.se). Analysis code for the present study has not been made publicly available, and the design and analysis plans for the study were not preregistered.",1148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,SAS,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620931542,2,0
2020-31-12-1531,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Other (please specify):,"routine programmed in MATLAB, however does not state what software was used to analyse data.",NA,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,2,1
2020-31-12-1544,1,Cognition,NA,NA,Humans,NA,All other ages,Both,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,Yes,Unavailable,Data and other materials for this study have not been made publicly available,1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,R,NA,NA,NA,NA,No,Yes,Unavailable,Data and other materials for this study have not been made publicly available,1555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620954812/suppl_file/sj-pdf-1-pss-10.1177_0956797620954812.pdf,2,1
2020-31-12-1557,2,Cognition,NA,NA,Humans,NA,All other ages,Both,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,Yes,Unavailable,Data and other materials for this study have not been made publicly available.,1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Matlab,NA,NA,NA,NA,No,Yes,Unavailable,Data and other materials for this study have not been made publicly available.,1570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620958651/suppl_file/sj-pdf-1-pss-10.1177_0956797620958651.pdf,2,1
2020-31-4-397,4,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,"Billboard chart rankings data for Study 1 are available at https://subscribe.billboard.com for a small fee. Users are not permitted to retransmit, disclose, or distribute the Billboard chart-rankings data. All other data for Studies 1 through 5, as well as the materials used, have been made publicly available via the Open Science Framework",406,Public dataset generated by the authors,NA,https://osf.io/d2xbu,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,Other (please specify):,R and SPSS,Yes,No,No,Yes,Yes,Available,"All other data for Studies 1 through 5, as well as the materials used, have been made publicly available via the Open Science Framework",406,Public set of materials generated by authors,NA,https://osf.io/8rf26/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797620902380,20,14
2020-31-4-408,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,All data have been made publicly available via the Open Science Framework,422,Public dataset generated by the authors,NA,https://osf.io/gb5cn/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620904154,20,0
2020-31-4-424,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,"All data, analysis scripts, and instruction materials have been made publicly available at the Open Science Framework",434,Public dataset generated by the authors,NA,https://osf.io/8ntuc/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,Yes,Yes,No,Yes,Yes,Available,"All data, analysis scripts, and instruction materials have been made publicly available at the Open Science Framework",434,Public set of materials generated by authors,NA,https://osf.io/8ntuc/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619882022,25,14
2019-30-10-1510,1,Health Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Fitness, weight, consumption, hormone levels, chemical uptake, sleeping patterns",NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https:// osf.io/4bsw8/,1520,Public dataset generated by the authors,NA,https:// osf.io/4bsw8/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,Yes,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https:// osf.io/4bsw8/,1520,Public set of materials generated by authors,NA,https:// osf.io/4bsw8/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,NA,No,NA,20,19
2020-31-3-332,1,Behavioural Neuroscience,NA,NA,Animals,NA,NA,NA,NA,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/c7t6k,336,Public dataset generated by the authors,NA,https://osf.io/c7t6k,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,No,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/c7t6k,336,Public set of materials generated by authors,NA,https://osf.io/c7t6k,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,Includes photographs and videos of the experiment taking place,No,NA,14,19
2020-31-3-316,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,All data and analysis scripts are available at https://osf .io/xk78c/,320,Public dataset generated by the authors,NA,https://osf .io/xk78c/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,R,NA,No,Yes,MPT Model Fit Plots,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797620901760,20,0
2020-31-3-280,4,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,Analysis scripts and deidentified data have been made publicly available via the Open Science Framework and can be accessed at https://osf.io/uskbm/,291,Public dataset generated by the authors,NA,https://osf.io/uskbm/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,Yes,Pre-registration pdf,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http:// journals.sagepub.com/doi/suppl/10.1177/0956797619895286,19,0
2020-31-3-258,1,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,Yes,Yes,Available,All data are publicly available on the Open Science Framework and can be accessed at https://osf.io/948zd/. Materials that are not copyrighted are publicly available at https://osf.io/buazk/.,266,Public dataset generated by the authors,NA,https://osf.io/948zd/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,No,No,No,Yes,Yes,Available,Materials that are not copyrighted are publicly available at https://osf.io/buazk/.,266,Public set of materials generated by authors,NA,https://osf.io/buazk/,Independent archive/repository,NA,OSF,NA,Yes,Requires permission,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619897588,14,7
